bare,translations_en
ампер-час,ampere hour
ампир,Empire style
амфибрахий,amphibrach
амфора,amphora
анабиоз,anabiosis
анаболизм,anabolism
анаграмма,anagram
анаконда,anaconda
аналой,lectern
анапест,anapaest
анархизм,anarchism
анархистка,anarchist
анатом,anatomist
анатомирование,anatomy
анафора,anaphora
анахорет,anchorite
ангажемент,engagement
ангидрид,anhydride
англицизм,Anglicism
англоман,an extreme Anglophile
англомания,Anglomania
анемограф,anemograph
анемометр,anemometer
анемон,anemone
анероид,aneroid
анестезиолог,anaesthetist
анестезиология,anaesthesiology
анилин,aniline
анималист,animal painter
анимизм,animism
анис,anise
анисовка,anisette
анкер,anchor
аннексия,annexation
аннигиляция,annihilation
аннулирование,annulment
анод,anode
аноним,anonymous author
анонимщик,writer of libellous anonymous letters
анонс,announcement
анорак,anorak
анофелес,anopheles
антагонист,antagonist
антивещество,antimatter
антивирус,antivirus
антиматерия,antimatter
антинейтрон,antineutron
антиномия,antinomy
антипассат,anti-trade wind
антипирин,antipyrine
антипротон,antiproton
антисептика,antiseptics
антитеза,antithesis
антитезис,antithesis
антитоксин,antitoxin
антифашист,anti-fascist
антиэлектрон,antielectron
антоним,antonym
антоновка,antonovka apples
антрацен,antracene
антрацит,anthracite
антрекот,entrecote
антреприза,private theatrical enterprise
антропоид,anthropoid
антрополог,anthropologist
антропометрия,anthropometry
антропоморфизм,anthtopomorphism
анчар,upas-tree
анчоус,anchovy
аорист,aorist
апартеид,apartheid
апатит,apatite
апатичность,apathy
апеллянт,appellant
апокрифический,apocryphal
аполитичность,political indifference
апологет,apologist
апология,an immoderate eulogizing
апоплексия,apoplexy
апорт,Oporto apples
апоселений,apolune
апостроф,apostrophe
апоцентр,apocentre
аппаратчик,operative
апперцепция,apperception
аппликатура,fingering
аппликация,applique work
аппретура,dressing
аппретурщик,dresser
апробация,approbation
апсида,apse
арабеска,arabesque
арабист,Arabist
арабистика,Arabic philology
аракчеевщина,Arakcheyev regime
аранжировка,arrangement
арапник,hunting-whip
араукария,araucaria
арахис,ground-nut
аргамак,argamak
аргентинец,Argentinean
аргентинка,Argentinean
арго,slang
аргон,argon
аргонавт,Argonaut
аргус,Argus
ареометр,areometer
ареопаг,Areopagus
арийка,Aryan
аристократизм,aristocratism
аркада,arcade
арлекинада,harlequinade
арматурщик,smith for reinforced concrete
армяк,armiak
армянка,Armenian
арнаутка,arnautka
арпеджио,arpeggio
артериосклероз,arteriosclerosis
артикль,article
артикул,article
артикуляция,articulation
артистизм,artistry
артистичность,artistry
артишок,artichoke
артобстрел,artillery bombardment
архаизм,archaism
архаика,archaic character
архар,wild ram
археограф,specialist in study of early texts
архивариус,archivist
архитектоника,architectonics
арьергард,rearguard
асбест,asbestos
асептика,asepsis
асимметрия,asymmetry
аскарида,ascarid
ассенизация,sewage disposal
ассимиляция,assimilation
ассириец,Assyrian
ассирийка,Assyrian
ассистентка,assistant
ассонанс,assonance
астения,asthenia
астигматизм,astigmatism
астматик,asthmatic
астроботаника,astrobotany
астрогеология,astrogeology
астролябия,astrolabe
астрометрия,astrometry
астронавтика,astronautics
атавизм,atavism
атлетизм,athletic build
атомизм,atomism
атомистика,atomism
атомник,atomic scientist
атомоход,atomic-powered vessel
атония,atony
аукционер,person attending an auction
аукционист,auctioneer
аутодафе,auto-da-fe
афазия,aphasia
афганка,Afghan
афинянка,Athenian
африканка,African
аффикс,affix
ахроматизм,achromatism
ахтерштевень,sternpost
ацетат,acetate
ацетилен,acetylene
ашуг,ashug
аэрарий,aerarium
аэрация,aeration
аэробы,aerobes
аэродинамика,aerodynamics
аэролит,aerolite
аэролог,aerologist
аэрология,aerology
аэрометр,aerometer
аэронавигация,aeronavigation
аэронавт,aeronaut
аэронавтика,aeronautics
аэросев,sowing
аэростатика,aerostatics
баббит,babbit
баварец,Bavarian
баварка,Bavarian
багет,baguette
багренье,gaffing
багрянец,crimson
багульник,ledum
бадминтон,badminton
бадминтонист,badminton player
базальт,basalt
базилика,basilica
байбак,steppe marmot
байронизм,Byronism
бакалавр,bachelor
бакалейщик,grocer
бакалея,grocery
бакенщик,buoy-keeper
баклага,flack
бактериолог,bacteriologist
бактериология,bacteriology
бал-маскарад,masquerade
балаболка,chatterbox
балаганщик,showman
балагурство,buffoonery
балалаечник,balalaika-player
баламут,trouble-maker
балансир,beam
балансирование,balancing
балетмейстер,ballet-master
балетоман,balletomane
балетомания,balletomania
балкарец,Balkar
балкарка,Balkar
балластировка,ballasting
баллистика,ballistics
баллотировка,voting
баловник,pet
балык,balyk
бальзамин,balsam
бальзамирование,embalming
бальнеолог,balneologist
бальнеология,balneology
балясина,baluster
бандаж,surgical corset
бандажист,bandage-maker
банджо,banjo
бандура,bandura
бандурист,bandura-player
банкнот,bank-note
банщица,bath-house attendant
баобаб,baobab
барбарис,barberries
барвинок,periwinkle
барда,grains
барий,barium
барит,barytes
барич,young barin
барка,wooden barge
баркарола,barcarole
барограф,self-recording barometer
барокамера,altitude chamber
баронство,barony
бароскоп,baroscope
барочник,bargee
барражирование,standing patrol
барство,the gentry
бархатка,velvet ribbon
барчонок,young master
барчук,young master
барщина,corvee
барышник,profiteer
барышничество,profiteering
баска,basque
баскетболистка,basketball-player
басконка,Basque
басма,basma
баснописец,writer of fables
басон,braid
басурман,infidel
баталист,painter of battle-pieces
батискаф,bathyscaphe
батончик,stick of confectionery
батрачка,farm-hand
батуд,trampoline
батут,trampoline
бахвал,braggart
бахвальство,bragging
бахчевод,water-melon
бахчеводство,water-melon
бациллоноситель,bacilli-carrier
башкир,Bashkir
башкирка,Bashkir
башлык,bashlyk
башмачник,shoe-maker
баядера,bayadere
беглость,fluency
бегония,begonia
бегунки,sulky
бедокур,mischief-maker
беженка,refugee
безалаберность,disorder
безбожие,atheism
безбрачие,celibacy
безвкусие,bad taste
безвластие,anarchy
безводье,lack of water
безволие,weak will
безголосица,lack of good voices
безделица,trifle
бездельница,idler
бездетность,childlessness
бездождье,dry spell
бездумность,thoughtlessness
бездумье,thoughtlessness
бездушие,callousness
бездушность,callousness
безжизненность,lifelessness
беззастенчивость,shamelessness
безземелье,lack of land
беззлобие,kindliness
беззлобность,kindliness
безлесье,absence of forests
безличие,lack of personality
безличность,lack of personality
безмен,steelyard
безнадзорность,neglect
безначалие,anarchy
безоблачность,cloudlessness
безобразник,hooligan
безобразница,virago
безотрадность,cheerlessness
безотцовщина,fatherlessness
безошибочность,faultlessness
безрезультатность,futility
безукоризненность,irreproachability
безупречность,irreproachability
безучастие,apathy
безызвестность,obscurity
бейдевинд,by the wind
бейсбол,baseball
бекар,natural
бекас,snipe
бекасинник,small shot
белена,henbane
беление,bleaching
белильня,bleaching works
белковина,albumen
беловик,fair copy
белодеревец,joiner
белокровие,leukaemia
белоруска,Byelorussian
белоручка,softie
белорыбица,white salmon
белошвейка,seamstress
белуга,beluga
белуха,white whale
бельведер,belvedere
бельгийка,Belgian
бельэтаж,first floor
бемоль,flat
бенгалец,Bengali
бенгалка,Bengali
бензозаправщик,petrol tanker
бензол,benzene
бензопровод,petrol pipe
бентонит,bentonite
бенуар,lower boxes
бергамот,bergamot
бёрдо,reed
бердыш,pole-axe
бережливость,thrift
бережность,care
берейтор,riding-master
берилл,beryl
бериллий,beryllium
беседчик,discussion-leader
бесконтрольность,absence of control
бескормица,fodder shortage
бескорыстность,disinterestedness
бескультурье,raging
беспамятность,forgetfulness
бесперебойность,continuity
бесперспективность,hopelessness
бесплановость,lack of planning
бесплодность,futility
беспорядочность,disorderliness
беспочвенность,groundlessness
беспредметность,pointlessness
бесприданница,dowerless girl
беспризорность,neglect
беспринципность,unscrupulousness
беспристрастие,impartiality
беспутство,dissipation
бессвязность,incoherence
бессемерование,Bessemer process
бессердечие,heartlessness
бессердечность,heartlessness
бесславие,infamy
бессмертник,immortelle
бессовестность,unscrupulousness
бессодержательность,emptiness
бессознательность,unconsciousness
бессребреник,disinterested person
бесстрастие,impassivity
бесстыдник,shameless boy
бесстыдница,shameless woman
бестолковость,muddle-headedness
бестолковщина,confusion
бестолочь,muddle-headed person
бесхарактерность,weakness of will
бесхозяйственность,thriftlessness
бесцветность,colourlessness
бесцельность,aimlessness
бесценность,pricelessness
бесчеловечность,inhumanity
бесчестность,dishonourableness
бесчестье,disgrace
бесчисленность,innumerable quantity
бесчувственность,insensibility
бесшабашность,recklessness
бетатрон,betatron
бетонщик,concrete worker
бечева,tow-line
бешамель,bechamel sauce
бешмет,beshmet
бзик,quirk
биатлон,biathlon
биатлонист,biathlonist
библиограф,bibliographer
библиоман,bibliomaniac
библиотековедение,library science
бивак,bivouac
бижутерия,bijouterie
бизань,driver
бизань-мачта,mizzen-mast
бикарбонат,bicarbonate
биквадрат,biquadrate
биллион,billion
бильдаппарат,picture transmitter
биметалл,bimetal
биметаллизм,bimetallism
бимсы,beams
бином,binomial
биомеханика,biomechanics
бионика,bionics
биосинтез,biosynthesis
биостанция,biological research station
биотоки,biological currents
биохимия,biochemistry
биоценоз,biocoenosis
биоценология,biocoenology
биоцикл,biocycle
биплан,biplane
биржевик,stockjobber
бирманец,Burmese
бирманка,Burmese
бирюза,turquoise
бисерина,bead
бисеринка,bead
бисквит,sponge-cake
биссектриса,bisector
битник,beatnik
битум,bitumen
бичевание,flagellation
благовест,church bells
благовещение,Lady Day
благоволение,goodwill
благовоспитанность,good breeding
благоглупость,high-sounding nonsense
благодетельница,benefactress
благожелательность,kindness
благозвучие,harmony
благозвучность,harmony
благолепие,splendour
благонамеренность,loyalty
благонравие,good conduct
благообразие,good looks
благопристойность,decency
благорасположение,favour
благотворитель,philanthropist
благотворность,wholesomeness
благоусмотрение,consideration
блевота,vomit
бленнорея,blennorrhoea
блеяние,bleat
блицтурнир,lightning tournament
блок-аппарат,signal-box
блудливость,lasciviousness
блюдолиз,toady
блюминг,blooming
блямба,hump
боа,boa
бобина,bobbin
бобр,beaver
бобрик,castor
бобслей,bob-sled
богара,dry-farming land
богдыхан,Chinese Emperor
богоборец,theomachist
богомаз,icon-dauber
богомолье,pilgrimage
богоотступник,apostate
богоотступничество,apostasy
богохульство,blasphemy
боевитость,perkiness
боезапас,ammunition
боезаряд,military load
божба,swearing
божница,icon-case
бой-девка,energetic headstrong girl
бойкость,smartness
бойлер,boiler
бойскаут,scout
боксит,bauxite
болгарка,Bulgarian
боливиец,Bolivian
боливийка,Bolivian
болид,fire-ball
болтанка,rough air
болтунья,scrambled eggs
болтушка,mash
бомбардир,bombardier
бомбовоз,bomber
бомбодержатель,bomb-rack
бонбоньерка,bonbonniere
бондарня,cooperage
бонза,bonze
боргес,bourgeois
борзописец,hack writer
бормашина,drill
боровик,boletus
бороздка,furrow
боронование,harrowing
бортмеханик,flight engineer
бортник,wild-hive beekeeper
бортничество,wild-hive beekeeping
бортпроводник,air steward
бортпроводница,stewardess
бортрадист,radio operator on aircraft
босниец,Bosnian
боснийка,Bosnian
ботвинья,botvinia
бочар,cooper
боязливость,timidity
боярышник,hawthorn
боярышня,boyaryshnia
брадобрей,barber
бразильянка,Brazilian woman
бракераж,certification
браковка,rejection of defective articles
браковщик,sorter
браковщица,sorter
бракодел,bungler
браконьерство,poaching
брамин,brahmin
брамсель,topgallant sail
брам-стеньга,topgallant
брандахлыст,wish-wash
брандвахта,guard-ship
брандер,fire-ship
брандмейстер,firebrigade chief
брандспойт,fire-pump
брас,brace
браслетка,bracelet
брасс,breast-stroke
братание,fraternization
братина,winebowl
братоубийство,fratricide
братоубийца,fratricide
брахман,brahman
брахманизм,brahmanism
брашпиль,windlass
брейд-вымпел,broad pennant
бремсберг,incline
бретель,shoulder-strap
бретелька,shoulder-strap
брехун,liar
бриг,brig
бродяжничество,vagrancy
бройлер,broiler
бром,bromine
бронеавтомобиль,armoured car
бронекатер,armoured launch
бронемашина,armoured car
бронзировка,bronzing
брошюровка,stitching
брошюровщик,stitcher
брошюровщица,stitcher
брыжейка,mesentery
брынза,brynza
брюзга,grumbler
брюзжание,grumbling
бряцание,clang
бубон,bubo
бугель,stirrup
бугорчатка,tuberculosis
будничность,ordinariness
будущность,future
буер,ice-boat
буженина,cold boiled pork
буза,boza
буй,buoy
бука,bogyman
буквоед,pedant
буквоедство,pedantry
буколика,bucolics
букса,axle-box
буксировка,towage
буксование,skidding
булла,bull
булочник,baker
бульварщина,gutter press
бумагодержатель,holder of securities
бумагомаратель,scribbler
бумагопрядение,cotton-spinning
бумагопрядильня,cotton mill
бумажонка,scrap of paper
бумазея,flannelette
бунд,Bund
бундестаг,Bundestag
бундовец,Bundist
бункеровка,bunkering
бунтарство,rebelliousness
бурав,gimlet
буравчик,gimlet
бурбон,churl
бурдюк,wineskin
буржуа,bourgeois
бурильщик,borer
бурлак,barge hauler
бурлеск,burlesque
бурса,seminary
бурсак,seminarist
бурт,clamp
бурчание,muttering
бурятка,Buryat
бусина,head
буссоль,surveying compass
бут,rubble
бутан,butane
бутил,butyl
бутилен,butylene
бутоньерка,buttonhole
бутуз,kiddy
бухарец,Bokharan
буча,row
бучение,washing in lye
бушель,bushel
бушприт,bowsprit
былина,bylina
быстрина,rapid
бытописатель,writer on matters of everyday life
бювет,pump-room
бюретка,burette
бязь,coarse calico
вабик,lure
вагонник,carriage-building worker
вагоностроение,carriage building
вагранка,cupola
важничанье,airs and graces
вазон,flowerpot
вакуум-насос,vacuum pump
вакханка,Bacchante
валка,felling
валки,rollers
валкость,crankiness
валоризация,valorization
валторна,French horn
вальдшнеп,woodcock
вальцовка,rolling
вальцовщик,roller
вальцы,rolling press
валютчик,speculator in foreign currency
валяльня,fulling-mill
валяльщик,fuller
валяльщица,fuller
валяние,fulling
ванадий,vanadium
ванилин,vanillin
ваниль,vanilla
вапоризация,vaporization
варан,monitor lizard
варваризм,barbarism
варенец,varenets
варница,saltworks
василиск,basilisk
ватерклозет,water-closet
ватерлиния,water-line
ватерпас,water-level
ватерполист,water-polo player
ватерполо,water polo
ватт,watt-hour
вахмистр,cavalry sergeant-major
ваяние,sculpture
ваятель,sculptor
вдовство,widowhood
вдувание,insufflation
вдумчивость,thoughtfulness
вегетарианство,vegetarianism
вегетация,vegetation
векселедатель,drawer
векселедержатель,holder of bill of exchange
векша,squirrel
велик,too big
великорус,Great Russian
величавость,stateliness
величание,glorification
величественность,majesty
велогонка,cycle race
велогонщик,racing cyclist
велодром,cycle track
велопробег,cycle race
велосипедистка,bicyclist
велотрек,cycle track
вельбот,whale-boat
вельвет,velveteen
велюр,velours
вендетта,vendetta
венерик,venereal patient
венеролог,venereologist
венерология,venereology
венесуэлец,Venezuelan
венецианец,Venetian
венценосец,monarch
вербена,verbena
верблюдица,female camel
верблюжонок,young of camel
вернисаж,opening day
веронал,veronal
вероника,veronica
вероотступник,apostate
вероотступничество,apostasy
веротерпимость,toleration
вероятие,likelihood
версификация,versification
верстальщик,imposer
верстатка,composing-stick
вертикальность,verticality
вертихвостка,flirt
вертлюг,head of the femur
вертлявость,fidgetiness
вертодром,heliport
вертопрах,giddy person
верховенство,command
верховод,ringleader
верхогляд,smatterer
верхоглядство,superficiality
верхолаз,steel erector
верша,fishing-basket
весновспашка,spring ploughing
весовщик,weigher
весомость,ponderability
весталка,vestal
вестовой,orderly
ветошник,old clothes dealer
ветреница,anemone
ветреность,frivolity
ветрило,sail
ветромер,anemometer
ветроуказатель,wind-sock
ветрянка,windmill
ветхость,decrepitude
вечерник,evening student
вечерня,vespers
вещун,soothsayer
вещунья,soothsayer
веялка,winnowing-machine
взаимозависимость,interdependency
взаимозаменяемость,interchangeability
взаимообусловленность,interconditionality
взбалтывание,shaking
взброс,upthrust
вздорожание,rise in price
взлизина,bald patch
взрыхление,loosening
взыскательность,exactingness
вибратор,vibrator
вибрион,vibrio
вивисекция,vivisection
виг,whig
вигвам,wigwam
вигонь,vicugna
видоизменение,modification
видоизменяемость,changeability
видоискатель,view-finder
видообразование,formation of species
византиец,Byzantine
визгливость,shrillness
визига,viziga
визир,sight
вика,vetch
виляние,wagging
винкель,set square
виноградарство,viticulture
виноградарь,viticulturist
виноградина,grape
винодел,wine-maker
виноделие,wine-making
винокур,distiller
винокурение,distillation
виноторговля,wine trade
виночерпий,cup-bearer
винтокрыл,rotary-wing aircraft
виньетка,vignette
виола,viol
виолончелистка,violoncellist
виртуозность,virtuosity
вирулентность,virulence
вирусолог,virologist
вис,hang
вискоза,viscose
висмут,bismuth
вист,whist
висюлька,pendant
витализм,vitalism
виталист,vitalist
витиеватость,floridity
вития,orator
витютень,wood-pigeon
вице-адмирал,vice-admiral
вице-консул,vice-consul
вице-король,viceroy
вишенник,cherry orchard
вкладыш,loose leaf
вклейка,pasting-in
вколачивание,driving in
вкрапление,dissemination
вкусовщина,lack of objective criteria
властительница,mistress
власяница,hair-shirt
влюбчивость,amorousness
вмазка,puttying
вменяемость,responsible
вместимость,capacity
вместительность,capaciousness
внимательность,attentiveness
внятность,distinctness
вогнутость,concavity
водворение,settlement
водевиль,vaudeville
воднолыжник,water-skier
воднолыжница,water-skier
водобоязнь,hydrophobia
водоизмещение,displacement
водолечебница,hydropathic
водолечение,hydropathy
водолив,chief bargee
водомер,water-gauge
водомоина,gully
водонепроницаемость,watertightness
водонос,water-carrier
водоотвод,overflow
водоотлив,pumping
водораспределитель,water-distributor
водорез,cutwater
водосброс,spillway
водослив,spill way
водоспуск,floodgate
водочерпалка,water-engine
воды,waters
воеводство,office of voevode
военизация,militarization
военрук,military instructor
военщина,soldiery
возгонка,sublimation
возгораемость,inflammability
воздаяние,requital
воздвижение,Exaltation of the Cross
воздержанность,abstinence
воздуходувка,blast-engine
воздухомер,aerometer
воздухообмен,ventilation
воздухоплавание,aeronautics
воздухоплаватель,aeronaut
воздушность,airiness
возка,carriage
возлияние,libation
возмужалость,maturity
возок,closed sleigh
воинственность,bellicosity
вокабула,vocable
вокализация,vocalization
вокализм,vocalism
вокализы,exercise in vocalization
волан,flounce
волейболист,volley-baller
волейболистка,volley-baller
волжанин,native of the Volga region
волжанка,native of the Volga region
волк-машина,willow
волнолом,breakwater
волномер,wave-meter
волнорез,breakwater
волокитчик,red-tapist
волопас,Bootes
волосность,capillarity
волочение,dragging
волочильщик,wire-drawer
волчанка,lupus
волынщик,piper
вольер,open-air cage
вольнодумец,free-thinker
вольнодумство,free-thinking
вольномыслие,free-thinking
вольноотпущенник,emancipated slave
вольт,volt
вольтаж,voltage
вольтаметр,voltameter
вольтерьянец,Voltairian
вольтерьянство,Voltairianism
вольтижировка,equestrian vaulting
вольтметр,voltmeter
вольфрам,tungsten
волюнтаризм,voluntarism
волюта,volute
вонючка,skunk
ворвань,train-oil
воркование,cooing
воркотня,grumbling
ворожба,sorcery
ворожея,fortune-teller
ворсильщик,teaseler
ворсование,teaseling
ворчливость,peevishness
ворчун,grumbler
ворчунья,grumbler
восковка,wax-paper
воскресник,voluntary Sunday work
воспитанность,breeding
воспламенение,ignition
воспламеняемость,inflammability
воспрещение,prohibition
восприемник,godfather
восприемница,godmother
восстановитель,repairer
востоковед,orientalist
востоковедение,oriental studies
восторженность,enthusiasm
восходитель,mountain-climber
восьмигранник,octahedron
восьмидесятилетие,eightieth anniversary
восьмиклассник,eighth-form boy
восьмиклассница,eighth-form girl
восьмилетие,eighth anniversary
восьмисотлетие,eight-hundredth anniversary
восьмистишие,octave
восьмиугольник,octagon
вотчинник,great landowner
воцарение,accession
вощанка,wax-paper
вощина,empty honeycomb
впадение,confluence
впайка,soldering
впечатлительность,impressionability
вписка,entry
впитывание,absorption
вправка,setting
впрыскивание,injection
впуск,admittance
врастание,growing in
врачевание,doctoring
временщик,temporary worker
времяисчисление,calendar
вруб,cut
врун,fibber
врунья,fibber
всеведение,omniscience
всевластие,absolute power
всезнайка,know-all
всезнайство,behaviour of a know-all
вселение,establishment
всеобуч,general compulsory education
всесилие,omnipotence
вспашка,ploughing
вспомоществование,relief
вставание,rising
всхожесть,germination
всхрап,sharp snore
всыпка,pouring
втирание,rubbing in
втора,second voice
второгодник,pupil remaining in the same form for second year
второгодница,pupil remaining in the same form for second year
второклассник,second-form boy
второклассница,second-form girl
второкурсник,second-year student
второкурсница,second-year student
втуз,technical college
вуалетка,veil
вузовец,student
вулканизация,vulcanization
вулканолог,volcanist
вулканология,volcanology
вульгаризатор,vulgarizer
вульгаризация,vulgarization
вульгаризм,vulgarism
вульгарность,vulgarity
вшивость,lousiness
выбойка,print
выборность,appointment by election
выборщик,elector
выбрасыватель,ejector
выварка,extraction
выверка,adjustment
выветривание,airing
выводка,removal
вывозка,removal
выволочка,beating
выгиб,curve
выгодность,advantage
выгонка,distillation
выделка,manufacture
выдержанность,firmness
выдувальщик,glass-blower
выдувка,blowing
выдумщик,inventor
выездка,breaking-in
выжига,cunning rogue
выжигание,burning out
выжидание,waiting
выжимание,pressing
выжимка,squeezing
выкормок,fosterling
выкормыш,fosterling
выкройка,pattern
вымоина,gully
вымолот,threshed corn
вымораживание,freezing
выноска,removal
выпаривание,evaporation
выпас,pasture
выпивоха,tippler
выпись,extract
выплавка,smelting
выпрямление,straightening
выпушка,edging
вырезывание,cutting out
выросток,year-old calf
высев,sowing
высечка,carving
высиживание,hatching
выскабливание,scraping
выслушивание,auscultation
высокопарность,grandiloquence
высотник,spider-man
высотомер,altimeter
выстукивание,percussion
вытачка,tuck
вытрезвление,sobering
вытяжка,drawing out
выученик,pupil
выхухоль,desman
выцветание,fading
вычитание,subtraction
вычурность,fancifulness
вышивание,embroidery
вьетнамка,Vietnamese
вьюнок,bindweed
вьюрок,mountain finch
вьюшка,damper
вязальщик,binder
вяление,drying
гавот,gavotte
гаврик,rogue
гагара,loon
гагарка,auk
гагат,jet
гаер,buffoon
гаерство,buffoonery
газоаппаратура,gas-fittings
газобаллон,gas cylinder
газовщик,gas-filter
газолин,gasolene
газомер,gas meter
газонокосилка,lawn-mower
газообмен,interchange of gases
газообразование,gasification
газоочиститель,gas-washer
газопроницаемость,gas-penetrability
газоубежище,gas-proof shelter
газохранилище,gas-holder
гайдроп,guide-rope
галалит,galalith
галантерейность,civilities
галантерея,haberdashery
галенит,galena
галечник,pebbles
галлий,gallium
галлицизм,Gallicism
галломан,Gallophil
галломания,Gallomania
галлон,gallon
галоген,halogen
галоид,haloid
галс,tack
галушка,dumpling
гальванизация,galvanization
гальванизм,galvanism
гальванометр,galvanometer
гальванопластика,galvanoplastics
гальваноскоп,galvanoscope
гальванотехника,galvanotechnics
ганглий,ganglion
гангстеризм,gangsterism
гандбол,handball
гандболист,handballer
гандикап,handicap
ганец,Ghanaian
гаолян,kaoliang
гардемарин,naval cadet
гардеробщица,cloak-room attendant
гармонизация,harmonization
гарпия,Harpy
гарпун,harpoon
гастрономия,gastronomy
гашение,extinguishing
гашиш,hashish
гвинеец,Guinean
гегельянец,Hegelian
гегельянство,Hegelianism
гегемония,hegemony
гедонизм,hedonism
гедонист,hedonist
геенна,Gehenna
гейзер,geyser
гекатомба,hecatomb
гекзаметр,hexameter
гексаэдр,hexahedron
гектоватт,hectowatt
гектограф,hectograph
гектолитр,hectolitre
гектометр,hectometre
гелиогравюра,heliogravure
гелиограф,heliograph
гелиотехника,solar radiation engineering
гелиотроп,heliotrope
гелиоцентризм,heliocentricism
гельминтология,helminthology
гематолог,haematologist
гематология,haematology
гемма,gem
генеалогия,genealogy
генезис,genesis
генерал-губернатор,governor-general
генштабист,General Staff officer
геоботаника,geobotany
геодезия,land-surveying
геологоразведчик,prospector
геометр,geometrician
георгин,dahlia
геофизик,geophysicist
геофизика,geophysics
геохимик,geochemist
геохимия,geochemistry
геоцентризм,geocentricism
геральдика,heraldry
гербициды,herbicides
гериатрия,geriatrics
германизация,Germanization
германизм,Germanism
германий,germanium
германист,Germanist
германистика,Germanic philology
гермафродит,hermaphrodite
гермошлем,pressurized helmet
героика,heroic emotions
герольд,herald
геронтология,gerontology
герундив,gerundive
герундий,gerund
герц,hertz
гетера,hetaera
гетерономия,heteronomy
гетман,hetman
гетманство,hetmanate
гиацинт,hyacinth
гиббон,gibbon
гибеллин,Ghibelline
гибридизация,hybridization
гигантомания,gigantomania
гигиенист,hygienist
гигрограф,hygrograph
гигрометр,hygrometer
гигроскоп,hygroscope
гидравлика,hydraulics
гидрат,hydrate
гидроавиация,hydro-aviation
гидроакустика,hydroacoustics
гидробиолог,hydrobiologist
гидробиология,hydrobiology
гидрограф,hydrographer
гидродинамика,hydrodynamics
гидрокостюм,protective waterproof suit
гидролиз,hydrolysis
гидролог,hydrologist
гидрология,hydrology
гидрометеорология,hydrometeorology
гидрометр,hydrometer
гидрометрия,hydrometry
гидромеханика,hydromechanics
гидропат,hydropathist
гидропоника,hydroponics
гидропульт,stirrup-pump
гидросамолёт,hydroaeroplane
гидростатика,hydrostatics
гидротерапия,hydropathy
гидротехник,hydraulic engineer
гидротехника,hydraulic engineering
гидротурбина,hydro-turbine
гидроустановка,hydroelectric power plant
гидроцентраль,hydroelectric plant
гиль,rot
гимнастка,gymnast
гинея,guinea
гиперболоид,hyperboloid
гиперемия,hyperaemia
гипнотизм,hypnotism
гипотенуза,hypotenuse
гипотония,hypotonia
гипсометр,hypsometer
гипсометрия,hypsometry
гипюр,guipure
гиревик,weight-lifter
гирокомпас,gyrocompass
гистолог,histologist
гистология,histology
гитов,brail
гичка,gig
главенство,supremacy
глаголица,Glagolitic alphabet
гладкость,smoothness
глаженье,ironing
глазировка,glazing
глазник,eye-doctor
глазунья,fried eggs
глазуровка,glaze
глазурь,syrup
глетчер,glacier
глиптика,glyptics
глиптотека,glyptotheca
глист,worm
глициния,wistaria
глосса,gloss
глоссарий,glossary
глубиномер,depth-gauge
глубокомыслие,profundity
глупыш,silly
глупышка,little silly
гляциолог,glaciologist
гляциология,glaciology
гнездование,nesting
гнездовье,nesting-place
гнейс,gneiss
гнилокровие,septicaemia
гнилостность,putrescence
гнилость,putridity
гнилушка,piece of rotten wood
гноение,suppuration
гноетечение,suppuration
гнома,gnome
гномон,gnomon
гносеология,gnosiology
гностик,gnostic
гностицизм,gnosticism
гну,gnu
гнусавость,nasality
гобоист,oboe player
говенье,fasting
говорильня,talking-shop
говорливость,talkativeness
говорунья,talker
гоголь,golden-eye
гоголь-моголь,gogol-mogol
година,time
голавль,chub
голик,besom
головастик,tadpole
головизна,jowl
головомойка,dressing down
головотяп,bungler
головотяпство,bungling
голословность,prooflessness
голубеводство,pigeon-breeding
голубика,great bilberries
голубка,pigeon
голубятня,dove-cot
голытьба,the poor
голь,the poor
гоминдан,Kuomintang
гоминдановец,member of the Kuomintang
гондольер,gondolier
гониометр,goniometer
гонококк,gonococcus
гонт,shingles
гончар,potter
гоньба,dash
гопак,hopak
горбунья,humpback
горбуша,hunchback salmon
горбыль,slab
горделивость,haughtiness
горельеф,high relief
горжетка,boa
горизонтальность,horizontality
горихвостка,redstart
горицвет,lychnis
горлан,bawler
горлинка,turtle-dove
горлица,turtle-dove
горловик,throat specialist
горнило,hearth
горнозаводчик,owner of mines and metallurgical works
горнолыжник,mountain-skier
горнолыжница,mountain-skier
горноспасатель,rescuer
городничий,governor
городошник,gorodki player
горожанка,town-dweller
горообразование,orogenesis
горошинка,pea
гортензия,hydrangea
горчичница,mustard-pot
горшечник,potter
горючесть,combustibility
готика,Gothic
готовальня,case of drawing instruments
готовка,cooking
готтентот,Hottentot
граб,hornbeam
гравировка,engraving
градация,gradation
градина,hailstone
градирня,water-cooling tower
градобитие,damage done by hail
градоначальство,town
градостроитель,town-planner
грамм-атом,gramme atom
грамм-молекула,gramme molecule
гранатник,pomegranate tree
грандиозность,mightiness
гранение,cutting
гранильщик,lapidary
гранула,granule
грат,burr
графология,graphology
графство,earldom
грациозность,gracefulness
грачонок,young rook
гребок,stroke
грейпфрут,grapefruit
грена,graine
гренадер,grenadier
греховодник,sinner
греховодница,sinner
грехопадение,the Fall
